DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,fpr,fpu,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
11,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.080024027,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
12,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.063851694,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
13,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.056625702,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
14,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.060353867,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
15,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.057174019,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
16,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.060302284,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
17,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.09296568,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
18,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.109001166,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
19,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.039791914,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
20,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.095092551,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
21,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.069207847,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
22,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.075967143,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
23,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.077253989,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
24,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.069380931,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
25,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.064341665,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
26,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.057046077,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
27,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.074463403,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
28,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.052053588,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
29,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.063171534,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
30,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.06767147,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
31,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.063418925,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
32,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.075883078,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
33,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.071121444,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
34,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.067128255,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
35,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.076830114,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
36,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.064069947,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
37,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.058165484,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
38,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.05993558,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
39,0,1,0,0.2841004,0.291146493,-0.12597512,0.160297652,-0.035610522,0.162231599,-0.083952881,0.0503,0.011,0.0151,0,0.0313,0.0418,0,0.086,0.1185,0.1687,0.2961,0.3579,0.3872,0.3748,0.4264,0.54,0.5639,0.5173,0.4826,0.5233,0,0,0,0,0.1183,0.1012,0.0931,0.1087,0.1142,0.1451,0.0847,0.0616,0.0889,0.1035,0.07811077,0.1013294,0.10018,0.10018,0.10018,0.10018,0.086008011,3,4,6,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,1.96215
